nta_code,nta_name,borough_name,rent_burden_50plus_pct,rank
QN1203,Baisley Park,Queens,0.303480561774883,62
BX0801,Kingsbridge Heights-Van Cortlandt Village,Bronx,0.3019147164924614,63
QN0401,Elmhurst,Queens,0.2985455893865106,64
MN1101,East Harlem (South),Manhattan,0.2978829596972092,65
BX1002,Throgs Neck-Schuylerville,Bronx,0.2977502812148481,66
QN0801,Kew Gardens Hills,Queens,0.2975772765246449,67
BK1802,Marine Park-Mill Basin-Bergen Beach,Brooklyn,0.2972268310026073,68
BK0402,Bushwick (East),Brooklyn,0.2958131586442609,69
BX0904,Parkchester,Bronx,0.2933871781928319,70
BK1601,Ocean Hill,Brooklyn,0.2927373378501198,71
BK1302,Coney Island-Sea Gate,Brooklyn,0.2920759224847358,72
MN1202,Washington Heights (North),Manhattan,0.2916260558804418,73
MN1102,East Harlem (North),Manhattan,0.291126386502109,74
